Date,City,State,AreaType,School,Fatalities,Year
2007-01-03,Tacoma,Washington,urban,HS,1,2007
2007-02-08,Prineville,Oregon,suburban,HS,1,2007
2007-03-07,Midland,Michigan,urban,HS,0,2007
2007-03-07,Greenville,Texas,suburban,HS,0,2007
2007-03-24,Greensboro,North Carolina,urban,C,0,2007
2007-04-02,Seattle,Washington,urban,C,1,2007
2007-04-10,Gresham,Oregon,urban,HS,0,2007
2007-04-16,Blacksburg,Virginia,urban,C,32,2007
2007-09-21,Dover,Delaware,urban,C,1,2007
2007-09-28,Oroville,California,suburban,HS,0,2007
2007-09-30,Memphis,Tennessee,urban,C,1,2007
2007-10-10,Cleveland,Ohio,urban,HS,0,2007
2008-01-15,Putnam City,Oklahoma,suburban,HS,0,2008
2008-01-16,Cleveland,Ohio,urban,HS,0,2008
2008-01-16,Charlotte,North Carolina,urban,HS,0,2008
2008-02-04,Memphis,Tennessee,urban,HS,0,2008
2008-02-07,Portsmouth,Ohio,suburban,ES,0,2008
2008-02-08,Baton Rouge,Louisiana,urban,C,3,2008
2008-02-11,Memphis,Tennessee,urban,HS,0,2008
2008-02-12,Oxnard,California,urban,MS,1,2008
2008-02-14,DeKalb,Illinois,urban,C,5,2008
2008-02-23,Jonesboro,Arkansas,urban,C,0,2008
2008-02-27,Little Rock,Arkansas,urban,C,0,2008
2008-02-28,Miami Gardens,Florida,urban,HS,0,2008
2008-03-06,Mobile,Alabama,urban,HS,1,2008
2008-03-07,Chicago,Illinois,urban,HS,1,2008
2008-04-05,Chicago,Illinois,urban,HS,1,2008
2008-04-16,Fresno,California,urban,HS,1,2008
2008-04-24,Omaha,Nebraska,urban,MS,0,2008
2008-04-29,Washington,District of Columbia,urban,C,0,2008
2008-07-24,Phoenix,Arizona,urban,C,0,2008
2008-08-14,Federal Way,Washington,urban,MS,1,2008
2008-08-21,Knoxville,Tennessee,urban,HS,1,2008
2008-08-29,Portland,Oregon,urban,HS,0,2008
2008-09-02,Willoughby,Ohio,suburban,HS,0,2008
2008-10-13,San Antonio,Texas,urban,C,1,2008
2008-10-16,Detroit,Michigan,urban,HS,1,2008
2008-10-20,Acton,California,suburban,HS,1,2008
2008-10-21,Indianapolis,Indiana,urban,HS,1,2008
2008-10-26,Conway,Arkansas,urban,C,2,2008
2008-10-31,Stockton Springs,Maine,rural,ES,0,2008
2008-11-12,Fort Lauderdale,Florida,urban,HS,1,2008
2008-11-15,St. George,Utah,urban,HS,1,2008
2008-11-21,Savannah,Georgia,urban,C,0,2008
2009-01-08,New Castle,Delaware,suburban,HS,0,2009
2009-01-09,Chicago,Illinois,urban,HS,0,2009
2009-01-23,Cahokia,Illinois,suburban,HS,1,2009
2009-02-07,Houston,Texas,urban,C,1,2009
2009-02-11,El Monte,California,urban,ES,0,2009
2009-02-17,Detroit,Michigan,urban,HS,0,2009
2009-03-06,Fayetteville,North Carolina,urban,HS,0,2009
2009-03-10,Jacksonville,Florida,urban,HS,2,2009
2009-04-10,Dearborn,Michigan,urban,C,1,2009
2009-04-24,Houston,Texas,urban,C,1,2009
2009-04-26,Hampton,Virginia,urban,C,0,2009
2009-05-01,Sheboygan,Wisconsin,urban,HS,0,2009
2009-05-05,Canandaigua,New York,suburban,HS,0,2009
2009-05-18,Larose,Louisiana,suburban,MS,0,2009
2009-05-18,Cambridge,Massachusetts,urban,C,1,2009
2009-06-09,Lexington,Kentucky,urban,MS,1,2009
2009-06-16,San Francisco,California,urban,HS,0,2009
2009-06-24,Parkersburg,Iowa,rural,HS,1,2009
2009-09-02,San Bruno,California,suburban,C,0,2009
2009-09-03,Atlanta,Georgia,urban,C,1,2009
2009-09-08,Stamford,Connecticut,urban,HS,0,2009
2009-09-14,Grand Rapids,Michigan,urban,HS,0,2009
2009-09-16,Henrico,Virginia,urban,HS,0,2009
2009-10-16,Carolina Forest,South Carolina,suburban,HS,1,2009
2009-10-30,Long Beach,California,urban,HS,1,2009
2009-11-16,Dallas,Texas,urban,ES,0,2009
2009-12-02,Brockton,Massachusetts,urban,HS,0,2009
2009-12-08,Woodbridge,Virginia,urban,C,0,2009
2009-12-11,Shreveport,Louisiana,urban,HS,0,2009
2010-01-07,Phoenix,Arizona,urban,HS,0,2010
2010-01-20,Livingston,Alabama,suburban,HS,1,2010
2010-02-05,Madison,Alabama,suburban,MS,1,2010
2010-02-10,Knoxville,Tennessee,urban,ES,0,2010
2010-02-12,Huntsville,Alabama,urban,C,3,2010
2010-02-19,DeKalb,Illinois,urban,C,0,2010
2010-02-23,Littleton,Colorado,suburban,MS,0,2010
2010-02-26,Tacoma,Washington,urban,ES,2,2010
2010-03-09,Columbus,Ohio,urban,C,1,2010
2010-04-29,Portsmouth,Virginia,urban,HS,0,2010
2010-05-18,South Gate,California,urban,HS,0,2010
2010-08-31,Blountville,Tennessee,suburban,HS,1,2010
2010-09-07,Detroit,Michigan,urban,HS,0,2010
2010-09-16,Moss Bluff,Louisiana,suburban,MS,1,2010
2010-09-21,Columbia,South Carolina,urban,HS,0,2010
2010-09-28,Austin,Texas,urban,C,1,2010
2010-10-01,Salinas,California,urban,HS,1,2010
2010-10-03,Elizabeth City,North Carolina,suburban,C,1,2010
2010-10-08,Carlsbad,California,urban,ES,0,2010
2010-10-25,Selma,Alabama,suburban,ES,0,2010
2010-11-29,Marinette,Wisconsin,suburban,HS,0,2010
2011-01-05,Omaha,Nebraska,urban,HS,1,2011
2011-01-18,Los Angeles,California,urban,HS,0,2011
2011-02-02,Placerville,California,suburban,ES,1,2011
2011-02-14,Murfreesboro,Tennessee,urban,C,0,2011
2011-02-23,Los Angeles,California,urban,C,1,2011
2011-03-25,Martinsville,Indiana,suburban,MS,0,2011
2011-03-31,Houston,Texas,urban,HS,1,2011
2011-04-06,Opelika,Alabama,suburban,C,1,2011
2011-04-13,Apopka,Florida,suburban,HS,0,2011
2011-04-19,Houston,Texas,urban,ES,0,2011
2011-05-23,Pearl City,Hawaii,suburban,MS,0,2011
2011-08-26,Harper Woods,Michigan,suburban,HS,0,2011
2011-10-24,Fayetteville,North Carolina,urban,HS,0,2011
2011-11-15,Berkeley,California,urban,C,0,2011
2011-12-08,Blacksburg,Virginia,urban,C,1,2011
2011-12-09,Edinburg,Texas,urban,MS,0,2011
2012-01-04,Brownsville,Texas,urban,MS,0,2012
2012-01-10,Houston,Texas,urban,HS,0,2012
2012-02-10,Walpole,New Hampshire,suburban,ES,0,2012
2012-02-22,Bremerton,Washington,urban,ES,0,2012
2012-02-27,Chardon,Ohio,suburban,HS,3,2012
2012-03-06,Jacksonville,Florida,urban,HS,1,2012
2012-03-24,Starkville,Mississippi,suburban,C,1,2012
2012-04-02,Oakland,California,urban,C,7,2012
2012-05-26,Chapel Hill,North Carolina,urban,ES,1,2012
2012-08-16,Memphis,Tennessee,urban,HS,0,2012
2012-08-27,Perry Hall,Maryland,suburban,HS,0,2012
2012-09-07,Normal,Illinois,urban,HS,0,2012
2012-09-12,Baltimore,Maryland,urban,C,0,2012
2012-10-31,Los Angeles,California,urban,C,0,2012
2012-11-30,Baltimore,Maryland,urban,C,0,2012
2012-12-14,Newtown,Connecticut,suburban,ES,27,2012
2013-01-07,Fort Myers,Florida,urban,ES,1,2013
2013-01-10,Taft,California,suburban,HS,0,2013
2013-01-15,Hazard,Kentucky,suburban,C,3,2013
2013-01-15,St. Louis,Missouri,urban,C,0,2013
2013-01-16,Chicago,Illinois,urban,C,0,2013
2013-01-22,Houston,Texas,urban,C,0,2013
2013-01-31,Phoenix,Arizona,urban,HS,0,2013
2013-01-31,Atlanta,Georgia,urban,MS,0,2013
2013-03-18,Orlando,Florida,urban,C,1,2013
2013-04-12,Christiansburg,Virginia,suburban,C,0,2013
2013-04-16,Grambling,Louisiana,suburban,C,0,2013
2013-04-18,Cambridge,Massachusetts,urban,C,2,2013
2013-05-14,Birmingham,Alabama,urban,MS,0,2013
2013-06-07,Santa Monica,California,urban,C,6,2013
2013-06-20,West Palm Beach,Florida,urban,HS,2,2013
2013-08-20,Decatur,Georgia,suburban,ES,0,2013
2013-08-23,Sardis,Mississippi,rural,HS,1,2013
2013-08-30,Winston-Salem,North Carolina,urban,HS,0,2013
2013-10-04,Pine Hills,Florida,urban,HS,0,2013
2013-10-21,Sparks,Nevada,urban,MS,2,2013
2013-11-02,Greensboro,North Carolina,urban,C,0,2013
2013-11-03,Lithonia,Georgia,rural,HS,0,2013
2013-11-13,Pittsburgh,Pennsylvania,urban,HS,0,2013
2013-12-04,Winter Garden,Florida,suburban,HS,0,2013
2013-12-13,Centennial,Colorado,suburban,HS,2,2013
2013-12-19,Fresno,California,urban,HS,0,2013
