Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2014-07-12,California,Pasadena,1700 block of Summit Avenue,3,2,2014
2014-07-11,Illinois,Chicago,5200 West Quincy Street,1,3,2014
2014-07-09,Texas,Spring,711 Leaflet Ln,6,1,2014
2014-07-08,Rhode Island,Providence,35 March Street,0,5,2014
2014-07-07,Kentucky,Stopover,KY 194E,0,4,2014
2014-07-07,California,San Bernardino,312  E Baseline Street ,1,4,2014
2014-07-06,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,2014
2014-07-06,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,2014
2014-07-06,New York,Buffalo,100 block of Erb Street,0,4,2014
2014-07-05,Texas,Houston,1700 Almeda-Genoa,0,6,2014
2014-07-05,Virginia,Norfolk,861 W. 36th Street,0,7,2014
2014-07-05,Oregon,Portland,333 SE 122ND Ave,1,4,2014
2014-07-05,Indiana,Indianapolis,Broad Ripple Avenue,0,7,2014
2014-07-05,Illinois,Centreville,4700 Piggott Avenue,0,5,2014
2014-07-04,Virginia,Norfolk,1722 Thurgood Street,0,5,2014
2014-07-02,Pennsylvania,Chester,1400 block of West Congress Street,0,5,2014
2014-06-30,Kentucky,Lexington,Scottsdale Circle,1,3,2014
2014-06-29,Louisiana,New Orleans,700 block of Bourbon St,1,9,2014
2014-06-29,Missouri,Saint Louis,2800 block of Dayton,0,4,2014
2014-06-29,California,Los Angeles,1100 block of North Vermont Avenue,1,5,2014
2014-06-28,California,Antioch,5500 Cedar Point Way,0,7,2014
2014-06-28,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,2014
2014-06-27,California,San Diego,1600 block of Cathy Street,1,3,2014
2014-06-26,Wisconsin,Milwaukee,24th and Locust,0,5,2014
2014-06-26,Michigan,Detroit,Grand St,2,2,2014
2014-06-25,Massachusetts,Lowell,Midland Street,0,5,2014
2014-06-24,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,2014
2014-06-22,California,Windsor,Windsor Avenue,1,3,2014
2014-06-21,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,2014
2014-06-21,Tennessee,Memphis,2119 East Alcy Road,0,5,2014
2014-06-20,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,2014
2014-06-15,Indiana,Kokomo,5100 Clinton Drive,0,4,2014
2014-06-15,Illinois,Park Forest,200 Berry Street,0,4,2014
2014-06-13,California,Los Angeles,8600 block of South Figueroa Street,3,1,2014
2014-06-09,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,2014
2014-06-08,Alabama,Opp,611 Hardin Street,1,4,2014
2014-06-07,South Carolina,Moncks Corner,Tish Lane,1,5,2014
2014-06-07,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,2014
2014-06-04,Illinois,Chicago,4900 West West End Avenue,1,3,2014
2014-06-03,Georgia,Atlanta,Auburn Avenue,1,4,2014
2014-06-02,Illinois,Chicago,2660 E. 79th St,0,7,2014
2014-06-01,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,2014
2014-06-01,California,Sacramento,6500 46th Street,0,4,2014
2014-05-31,California,San Bernardino,800 block of West Victoria St,1,3,2014
2014-05-25,Ohio,Toledo,2100 block of Joffre Avenue,1,3,2014
2014-05-24,Michigan,Detroit,Strathmoor Street,0,4,2014
2014-05-24,South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,2014
2014-05-23,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,2014
2014-05-23,Louisiana,New Orleans,6200 block of Eads Street,1,7,2014
2014-05-23,California,Bellflower,9541 Flower Street,2,2,2014
2014-05-21,Texas,Dallas,4500 block of Village Fair Drive,1,3,2014
2014-05-18,Ohio,Sandusky,1643 Cleveland Rd,0,7,2014
2014-05-17,California,Coachella,84000 block of Pedro Drive,1,3,2014
2014-05-17,District of Columbia,Washington,2200 block of Adams Place NE,0,5,2014
2014-05-13,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,2014
2014-05-12,Illinois,Chicago,3400 West 24th Street,0,4,2014
2014-05-11,California,Sacramento,Peregrine Park,1,6,2014
2014-05-11,Tennessee,Memphis,2517 Shasta,0,7,2014
2014-05-10,Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,2014
2014-05-10,California,Sacramento,Natomas,1,6,2014
